Run_ID,Status,Cover_Density,Avg_Effectiveness,Distribution_Evenness,Clustering_Score,Type_Ratio,Sightline_Exposure,Symmetry_Delta,Navigable_Area,Chokepoint_Centrality
568,REJECTED,0.078,0.723,0.664,0.522,0.761,0.435,23.935,0.652,0.220
569,PASSED,0.070,0.718,0.704,0.511,0.711,0.536,13.208,0.701,0.235
570,REJECTED,0.055,0.701,0.702,0.617,0.702,0.460,26.851,0.675,0.370
571,REJECTED,0.058,0.663,0.689,0.680,0.660,0.389,39.462,0.639,0.540
572,REJECTED,0.057,0.715,0.678,0.652,0.652,0.439,45.451,0.678,0.370
573,REJECTED,0.071,0.636,0.694,0.788,0.712,0.336,21.860,0.598,0.380
574,REJECTED,0.057,0.622,0.691,0.836,0.655,0.311,21.775,0.587,0.520
575,REJECTED,0.081,0.692,0.735,0.685,0.778,0.400,29.741,0.623,0.350
576,PASSED,0.068,0.672,0.688,0.490,0.755,0.389,1.301,0.638,0.290
577,PASSED,0.063,0.677,0.686,0.574,0.617,0.489,2.576,0.675,0.280
578,PASSED,0.079,0.676,0.748,0.760,0.700,0.379,2.389,0.622,0.390
579,REJECTED,0.071,0.693,0.700,0.712,0.769,0.385,34.001,0.626,0.220
580,PASSED,0.072,0.694,0.694,0.674,0.761,0.366,11.369,0.640,0.327
581,PASSED,0.071,0.633,0.629,0.686,0.686,0.305,9.063,0.571,0.340
582,REJECTED,0.069,0.655,0.677,0.680,0.720,0.354,21.024,0.607,0.420
583,REJECTED,0.065,0.643,0.705,0.784,0.725,0.365,24.466,0.631,0.570
584,PASSED,0.068,0.668,0.667,0.667,0.647,0.438,5.891,0.644,0.357
585,PASSED,0.067,0.717,0.702,0.702,0.745,0.427,9.534,0.659,0.410
586,REJECTED,0.062,0.691,0.729,0.583,0.688,0.494,34.668,0.674,0.267
587,REJECTED,0.056,0.735,0.714,0.476,0.690,0.581,26.954,0.719,0.210
588,REJECTED,0.059,0.632,0.618,0.733,0.578,0.481,24.220,0.675,0.750
589,PASSED,0.057,0.787,0.657,0.578,0.800,0.546,0.713,0.715,0.270
590,PASSED,0.067,0.742,0.710,0.837,0.857,0.427,10.480,0.669,0.310
591,REJECTED,0.061,0.626,0.646,0.694,0.755,0.315,15.942,0.609,0.350
592,PASSED,0.069,0.674,0.609,0.809,0.723,0.340,10.216,0.625,0.350
593,PASSED,0.058,0.691,0.672,0.574,0.723,0.386,11.873,0.645,0.220
594,REJECTED,0.052,0.637,0.713,0.529,0.667,0.364,35.485,0.614,0.320
595,PASSED,0.047,0.693,0.650,0.628,0.651,0.512,3.682,0.698,0.230
596,REJECTED,0.073,0.636,0.679,0.857,0.679,0.289,8.454,0.565,0.480
597,REJECTED,0.066,0.776,0.671,0.455,0.841,0.388,23.991,0.676,0.230
598,REJECTED,0.063,0.739,0.651,0.524,0.738,0.573,20.909,0.725,0.250
599,PASSED,0.053,0.659,0.634,0.583,0.646,0.533,7.406,0.690,0.310
600,PASSED,0.070,0.606,0.716,0.737,0.649,0.344,14.461,0.590,0.350
601,REJECTED,0.051,0.731,0.651,0.511,0.689,0.569,18.153,0.718,0.360
602,PASSED,0.053,0.629,0.642,0.681,0.617,0.502,13.849,0.677,0.360
603,REJECTED,0.069,0.712,0.630,0.587,0.696,0.460,44.223,0.665,0.310
604,REJECTED,0.070,0.669,0.686,0.447,0.702,0.476,17.324,0.674,0.500
605,REJECTED,0.069,0.726,0.711,0.740,0.740,0.438,28.238,0.654,0.220
606,REJECTED,0.048,0.686,0.702,0.729,0.729,0.496,27.970,0.694,0.200
607,PASSED,0.071,0.679,0.639,0.500,0.771,0.337,0.850,0.614,0.320
608,REJECTED,0.070,0.646,0.710,0.792,0.679,0.400,24.687,0.622,0.360
609,REJECTED,0.068,0.681,0.634,0.647,0.725,0.473,15.320,0.658,0.320
610,PASSED,0.066,0.630,0.680,0.625,0.563,0.485,12.394,0.658,0.410
611,REJECTED,0.069,0.681,0.712,0.500,0.717,0.434,21.391,0.654,0.490
612,PASSED,0.060,0.669,0.672,0.745,0.681,0.500,0.540,0.678,0.260
613,REJECTED,0.062,0.733,0.652,0.561,0.659,0.581,26.328,0.715,0.300
614,REJECTED,0.069,0.574,0.700,0.839,0.643,0.362,30.172,0.595,0.240
615,REJECTED,0.075,0.630,0.684,0.830,0.679,0.337,29.073,0.601,0.490
616,REJECTED,0.056,0.642,0.665,0.655,0.691,0.359,17.607,0.614,0.390
617,PASSED,0.055,0.796,0.671,0.450,0.775,0.537,9.342,0.731,0.230
618,PASSED,0.058,0.684,0.646,0.739,0.717,0.611,13.471,0.725,0.230
619,REJECTED,0.061,0.599,0.680,0.709,0.691,0.334,34.065,0.583,0.560
620,REJECTED,0.062,0.639,0.671,0.820,0.600,0.358,16.986,0.608,0.640
621,REJECTED,0.069,0.736,0.638,0.667,0.824,0.333,43.118,0.615,0.450
